City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,okhotsk,59.3833,143.3,-19.2,89,100,5.72,RU,1675297085
1,ibra,22.6906,58.5334,15.96,74,6,0.22,OM,1675297087
2,jamestown,42.097,-79.2353,-5.23,74,0,3.09,US,1675297088
3,tobol,52.6844,62.5794,-23.29,99,27,1.64,KZ,1675297089
4,cherskiy,68.75,161.3,-21.4,99,100,1.91,RU,1675297090
5,hamilton,39.1834,-84.5333,-1.09,54,0,1.54,US,1675297053
6,deep river,46.1001,-77.4995,-9.14,97,71,1.17,CA,1675297092
7,sechura,-5.5569,-80.8222,24.56,73,28,4.32,PE,1675297093
8,mataura,-46.1927,168.8643,27.95,45,53,1.52,NZ,1675297094
9,busselton,-33.65,115.3333,17.02,61,4,7.66,AU,1675297094
10,mar del plata,-38.0023,-57.5575,22.27,79,100,4.63,AR,1675297095
11,rikitea,-23.1203,-134.9692,26.51,75,10,6.21,PF,1675297097
12,goshogawara,40.8044,140.4414,-0.28,62,100,8.84,JP,1675297098
13,hobart,-42.8794,147.3294,17.81,51,75,5.66,AU,1675297099
14,laguna,38.421,-121.4238,15.1,47,0,2.57,US,1675297099
15,castro,-24.7911,-50.0119,18.04,95,100,1.03,BR,1675297100
16,baculin,7.4525,126.5842,25.47,90,89,2.35,PH,1675297102
17,jalna,19.8333,75.8833,17.95,33,11,4.25,IN,1675297102
18,mahajanga,-15.7167,46.3167,23.78,90,100,5.17,MG,1675296842
19,edd,13.9297,41.6925,24.74,68,40,2.11,ER,1675297104
20,lamas,-6.4167,-76.5333,24.26,79,94,0.99,PE,1675297105
21,bluff,-46.6,168.3333,21.0,76,51,2.48,NZ,1675297107
22,port macquarie,-31.4333,152.9167,29.38,63,25,5.07,AU,1675297108
23,puerto ayora,-0.7393,-90.3518,25.86,94,90,0.89,EC,1675297110
24,arraial do cabo,-22.9661,-42.0278,26.92,74,20,5.14,BR,1675297113
25,karasjok,69.4719,25.5112,-10.36,96,100,2.7,NO,1675297116
26,bethel,41.3712,-73.414,-0.13,49,0,0.89,US,1675297118
27,hithadhoo,-0.6,73.0833,26.97,75,26,3.9,MV,1675297119
28,qaanaaq,77.484,-69.3632,-23.02,63,35,3.75,GL,1675296946
29,emba,48.8264,58.1442,-9.49,77,98,4.64,KZ,1675297120
30,maraa,-1.8333,-65.3667,23.76,94,98,0.78,BR,1675297122
31,camargo,27.6667,-105.1667,10.49,71,96,2.25,MX,1675297122
32,albany,42.6001,-73.9662,-4.63,58,44,2.32,US,1675296917
33,punta arenas,-53.15,-70.9167,15.62,55,75,6.69,CL,1675297123
34,ushuaia,-54.8,-68.3,13.81,62,75,5.66,AR,1675297123
35,sorrento,40.626,14.3744,11.48,85,84,3.01,IT,1675297124
36,provideniya,64.3833,-173.3,-3.94,80,75,6.0,RU,1675297124
37,leh,34.1667,77.5833,-14.34,64,99,0.72,IN,1675297124
38,thompson,55.7435,-97.8558,-27.91,63,75,5.14,CA,1675297064
39,marawi,7.9986,124.2928,22.09,88,94,0.89,PH,1675297125
40,lalibela,12.0333,39.0333,14.78,44,56,2.42,ET,1675297126
41,calbuco,-41.768,-73.1273,15.56,73,38,6.17,CL,1675297126
